dataset,fold,file_role,repository_path,rows,positives,negatives,sha256
IMDAD,1,train,data/IMDAD/folds/fold_1/train.csv,3266,1633,1633,87e30aa7eab642db8a679a791f76c958bf9e41c1b19d63b57f68347747ba7cd5
IMDAD,1,val,data/IMDAD/folds/fold_1/val.csv,362,181,181,c8a602319ca0abd06aec0e00d49f2ad46278445520348ae2601bee21edfd6092
IMDAD,1,test,data/IMDAD/folds/fold_1/test.csv,908,454,454,c18bb2b3ed3534cda8a355f1f28cb544051418d0ab0e184d6c4eb3062213c486
IMDAD,1,train_pos,data/IMDAD/folds/fold_1/train_pos.csv,1633,1633,0,45ac3f9112a46e5b52310488264299312885e4c8810381cb9fccdbf43438e3a2
IMDAD,1,test_pos,data/IMDAD/folds/fold_1/test_pos.csv,454,454,0,662dff962f5f812ec630b8402e89c77eb8b25a7b6e135e6bedf457c179b5ff7d
IMDAD,1,test_neg,data/IMDAD/folds/fold_1/test_neg.csv,454,0,454,a1053473c68bee093e5e3e0e2829f98b8d582f26437e28b4675399fcad07490c
IMDAD,2,train,data/IMDAD/folds/fold_2/train.csv,3266,1633,1633,33734f8bb9878a14b75b71f5ca4f8e0a169d190473cceab228f3ca7a2341d392
IMDAD,2,val,data/IMDAD/folds/fold_2/val.csv,362,181,181,c227b649b807941bcbeb5f34b4792d4735edd925fc60f34d56957f64131b48a8
IMDAD,2,test,data/IMDAD/folds/fold_2/test.csv,908,454,454,87e59f439671112785e9f33c51b87a5adec4fcf95c0723c7ea3c2204761510f2
IMDAD,2,train_pos,data/IMDAD/folds/fold_2/train_pos.csv,1633,1633,0,aa6dad2b690a2f4a06474281f95cb2bb8636b728ed57e5c180d009af5b9d22c1
IMDAD,2,test_pos,data/IMDAD/folds/fold_2/test_pos.csv,454,454,0,3a5bbb1c3f3ef6443923d1ebfd7098ee40957c8a12cee75a7428ca4216cb984f
IMDAD,2,test_neg,data/IMDAD/folds/fold_2/test_neg.csv,454,0,454,8fa1c0e6a598a57272a55002c6dc11dfeb36844e6585a2279de47c1e7c27d3c4
IMDAD,3,train,data/IMDAD/folds/fold_3/train.csv,3266,1633,1633,32ae349fe9154d64e578eed440bdba8e28b47f1531ebbd14296c71881e9812ab
IMDAD,3,val,data/IMDAD/folds/fold_3/val.csv,362,181,181,b45462590160b91c70ce3f4bd8f2bcd91d76dbb4c5057d3133e744f9b5e81e6d
IMDAD,3,test,data/IMDAD/folds/fold_3/test.csv,908,454,454,264ee976d5a682bed06fff095c175233bb9b01e57a3a78f2c57bb6dc6de2e0e5
IMDAD,3,train_pos,data/IMDAD/folds/fold_3/train_pos.csv,1633,1633,0,dde86ee3bd30fec4f08d10b88c0d92984cad3b543c5cbd0c8a1dbf5a00a1fffa
IMDAD,3,test_pos,data/IMDAD/folds/fold_3/test_pos.csv,454,454,0,b1e2d4f27dcc8821784641adb134bef3e0d8ea9d94d77e24587822de1da59f25
IMDAD,3,test_neg,data/IMDAD/folds/fold_3/test_neg.csv,454,0,454,fce14c74603317057c40b7967e85dac3ed7e93d26225545c4a328f19dfdfc31b
IMDAD,4,train,data/IMDAD/folds/fold_4/train.csv,3266,1633,1633,f653055b30e94b942558244ec437bdb105265f92d33f4b923fac5c5de063da15
IMDAD,4,val,data/IMDAD/folds/fold_4/val.csv,364,182,182,0c8695f23cba8034a425e76f2f072b9aa75f1cb135957de9efbc294429720838
