dataset,fold,role,rows,positives,negatives,sha256
IMDAD,1,train,3266,1633,1633,87e30aa7eab642db8a679a791f76c958bf9e41c1b19d63b57f68347747ba7cd5
IMDAD,1,val,362,181,181,c8a602319ca0abd06aec0e00d49f2ad46278445520348ae2601bee21edfd6092
IMDAD,1,test,908,454,454,c18bb2b3ed3534cda8a355f1f28cb544051418d0ab0e184d6c4eb3062213c486
IMDAD,1,train_pos,1633,1633,0,45ac3f9112a46e5b52310488264299312885e4c8810381cb9fccdbf43438e3a2
IMDAD,1,val_pos,181,181,0,21f50a1aa157e4945b70fb07a590aac3a22f52d27aef6e5088d7a95d2703f56d
IMDAD,1,test_pos,454,454,0,662dff962f5f812ec630b8402e89c77eb8b25a7b6e135e6bedf457c179b5ff7d
IMDAD,1,train_neg,1633,0,1633,16a6fcb114109811a7baf13f474698534be9cd91730d2ee1dc05ebe69e6186fe
IMDAD,1,val_neg,181,0,181,56989436d114c0d03aefd75481a5425820da451a1d2a8413f1596fbb09ad2fdf
IMDAD,1,test_neg,454,0,454,a1053473c68bee093e5e3e0e2829f98b8d582f26437e28b4675399fcad07490c
IMDAD,2,train,3266,1633,1633,33734f8bb9878a14b75b71f5ca4f8e0a169d190473cceab228f3ca7a2341d392
IMDAD,2,val,362,181,181,c227b649b807941bcbeb5f34b4792d4735edd925fc60f34d56957f64131b48a8
IMDAD,2,test,908,454,454,87e59f439671112785e9f33c51b87a5adec4fcf95c0723c7ea3c2204761510f2
IMDAD,2,train_pos,1633,1633,0,aa6dad2b690a2f4a06474281f95cb2bb8636b728ed57e5c180d009af5b9d22c1
IMDAD,2,val_pos,181,181,0,36ede253b7c5aa5c83e73848f1fbb9f21ac41beaef2a415843ca85a7102bf988
IMDAD,2,test_pos,454,454,0,3a5bbb1c3f3ef6443923d1ebfd7098ee40957c8a12cee75a7428ca4216cb984f
IMDAD,2,train_neg,1633,0,1633,d57c79a5a251b0f108800aff071e261e4a3a102bb4366d279c0945fe10185f8c
IMDAD,2,val_neg,181,0,181,534234f0184ee129876a50a619c03e7db80be00e11dedb2abd33be6a05ab4e17
IMDAD,2,test_neg,454,0,454,8fa1c0e6a598a57272a55002c6dc11dfeb36844e6585a2279de47c1e7c27d3c4
IMDAD,3,train,3266,1633,1633,32ae349fe9154d64e578eed440bdba8e28b47f1531ebbd14296c71881e9812ab
IMDAD,3,val,362,181,181,b45462590160b91c70ce3f4bd8f2bcd91d76dbb4c5057d3133e744f9b5e81e6d
IMDAD,3,test,908,454,454,264ee976d5a682bed06fff095c175233bb9b01e57a3a78f2c57bb6dc6de2e0e5
IMDAD,3,train_pos,1633,1633,0,dde86ee3bd30fec4f08d10b88c0d92984cad3b543c5cbd0c8a1dbf5a00a1fffa
IMDAD,3,val_pos,181,181,0,196aebff72621957d8558a80aca874b439d3efe28efc48775bb0b7b9ab87fdc2
IMDAD,3,test_pos,454,454,0,b1e2d4f27dcc8821784641adb134bef3e0d8ea9d94d77e24587822de1da59f25
IMDAD,3,train_neg,1633,0,1633,108780ad58a7939f9680160829059473d051bb78599c821ce0f1aa952152b028
IMDAD,3,val_neg,181,0,181,c147f5a462668b2bab2ece7ab1ba5720dd2085c86b1dc59900a01ad0e1b09f73
IMDAD,3,test_neg,454,0,454,fce14c74603317057c40b7967e85dac3ed7e93d26225545c4a328f19dfdfc31b
IMDAD,4,train,3266,1633,1633,f653055b30e94b942558244ec437bdb105265f92d33f4b923fac5c5de063da15
IMDAD,4,val,364,182,182,0c8695f23cba8034a425e76f2f072b9aa75f1cb135957de9efbc294429720838
IMDAD,4,test,906,453,453,17cf4eb1f548f0c3eaf3b59ca3397a13b0e8dd65ae3f3401f46f241f95466a2e
IMDAD,4,train_pos,1633,1633,0,717397f9ce9ce21a2586c7d5478c2c8f3eb4a833e9a375042b5ed75b3a1ac581
IMDAD,4,val_pos,182,182,0,4ea2ce49141b77e71a12d9004aad4624b5ee0ea34864b7f0cf7f319c7d7f669c
IMDAD,4,test_pos,453,453,0,b2105d92179bc7a3b7aac9d3389449845058b6a97aaf7344d053697f9902b826
IMDAD,4,train_neg,1633,0,1633,52bafa79cd7b94fe39ccd81026ba8ccd86e811abbfd642bf373bd0ae013d7c1e
IMDAD,4,val_neg,182,0,182,ee47beeb560ee5aba604b1e1fcb073bebd82081854dafa78676de75bd830b533
IMDAD,4,test_neg,453,0,453,7c5000276f520e4322b6afe14ee056acc5b39b61081684065faf9502873701e5
IMDAD,5,train,3266,1633,1633,3911b0c3cf483a820090fda8f801bc2f5afc87f32f7c05299e7413d535299872
IMDAD,5,val,364,182,182,d0f9174adf016cdb823b35d9d4704ef47178560842324821552af48aa54fc549
IMDAD,5,test,906,453,453,97b55e5845928f79bc947bf8ecb62cd25cda9d45628dd23644f0b978b3ef60d5
IMDAD,5,train_pos,1633,1633,0,0c8b7d84b056678ebf7595f062a4ebda144044fc94beceb7b85a6328ff281350
IMDAD,5,val_pos,182,182,0,2b06c8f2c40ac1e622dbf12989d386e5516bea4379cdf79e98093a2452183c96
IMDAD,5,test_pos,453,453,0,bb287c557c9204e1de6511472d8a7014916981785fa9d6461c0f2ec0dc71503a
IMDAD,5,train_neg,1633,0,1633,03c89350a4fc313c6d8e1065ac5d4cb5a3efcf4126f4621cf8a13ebe76d7118c
IMDAD,5,val_neg,182,0,182,e860d3374c0378fd79bd62cb59497ef8585d58e6a3f1f23e4f6d5556359c56a1
IMDAD,5,test_neg,453,0,453,405856ffdad996eebf11b9759005c4b516297e0bf0966db79e40912e1830ed55
aBiofilm,1,train,4152,2076,2076,9a147810075669ca18e48850b4b5abf4ffb98a37360ab58e379cd8981897c9a7
aBiofilm,1,val,462,231,231,274a2650c18d40e09d654a192a8b15fecd491a0b8d49aaa472ee7afd4b8ccf78
aBiofilm,1,test,1154,577,577,ecd6f2360bd942e880df0f3142808ed597787f6455ef2ec76fc6c4dd42aad050
aBiofilm,1,train_pos,2076,2076,0,70ad98efbd88cb2cd0a98bd04a564fb5d6902a8b86f7a2a6a71f9307c3032438
aBiofilm,1,val_pos,231,231,0,369308770582e3298a9f49c3f483f841211f68fb6a8bea32ab5597ae6d17dc86
aBiofilm,1,test_pos,577,577,0,ff77f71e63ed3d5f41748454ce4a0585d7e5a101f27f99d95fb2b1701b9ebd4f
aBiofilm,1,train_neg,2076,0,2076,6d30002ebc531208f3ef8a0428b1a77c64240fcea85be32298375eecc2495c4f
aBiofilm,1,val_neg,231,0,231,8511144754893483d3aef8ab23a1af15d504316a0dbb1fb3c673dd7ff17fcc70
aBiofilm,1,test_neg,577,0,577,66aa453212cfccd78c6967a068e35221ea04741bf0740e8e1422ff9c3e2668f1
aBiofilm,2,train,4152,2076,2076,d7463b2f130b241fcafb9b072ab42496225fd67be0587c97526f2353120eab5e
aBiofilm,2,val,462,231,231,02e14e42447d0711d5d3c898313b5c6797871751782be8a213ef70f8381f7189
aBiofilm,2,test,1154,577,577,d5a236d56a8cc40a05c10720c9a2f717cc29bff021e107fe1bfb330852bcf443
